Context,CL-MAS 236,CL-MAS 410,CL-MAS 433,CL-REC 1d,CL-MAS 530/560,PET-EST 2783,CNT-LOR U5d,A-MAS bd10,A-MGR 7,CAMP-A 1311,CAMP-A 23,CL-MAS 231,CL-MAS 462,CL-MAS 524,CL-MAS 525,CL-MAS 633b,CNT-LOR U6b,DOLIUM bd5a,ROSES 27,A-MAS bd8,CL-MAS 233,A-MAS bd9,CAMP-A 42Bc,CL-MAS 521,CAMP-A 49B,CNT-LOR V3,ROSES 40,A-MAS 5,CL-MAS 522,CL-MAS 122,CL-MAS 633c,CL-MAS 633a,CAMP-A 48B,CNT-LOR J1g,CL-MAS 520,A-GR-ITA bd2,A-GR-ITA bd4,CNT-LOR J4b,CNT-LOR J2a2,COM-IT 8a,CNT-LOR A5,CNT-LOR U5g,CAMP-A 34a,DOLIUM bd3c,CELT 3b,CL-MAS 831,CNT-LOR J1d,A-GR-ITA bd3,CL-MAS 622,CL-REC 1c,COM-IT 6h,COT-CAT Gb4,A-MAS bd11,CNT-LOR V1b,IB-PEINTE 2711,AMPH Greco-Italic Will e,A-GR-ITA LWe,CAMP-A 27Ba,DOLIUM bd8e,CAMP-A 31a,CNT-LOR J2c,CELT 2c,CNT-MAS 4c1,CL-REC 7a,COM-IT 4b,CNT-LOR A10,CELT 6a,CL-MAS 321,COM-IT 4,CAMP-B 2,CAMP-A 34b,CNT-LOR A6b,COM-PUN 351,CNT-LOR A6,A-GRE Rho4,CL-REC 13i,CL-REC 2b,CL-REC 7,CAMP-A 42/49,CAMP-A 33b,CNT-LOR C1d,CELT 10,COM-PUN 521a,COT-CAT Jt1,COM-IT 8d-8f,COT-CAT Gb0,A-MGR 8,CALES 1310,CL-REC 5,CNT-LOR J2a,COM-IB Cc2,COM-IT 9a,COT-CAT Gb5,CNT-LOR U5d8,CELT 1,DER-A 31b,COT-CAT Cc0,CAMP-A 55,CAMP-A 68,CNT-LOR J1e,CNT-LOR U6,CAMP-A 5,CNT-LOR V2c,A-ITA Dr1A-bd2,CNT-LOR C5,COM-IB Jt2,CAMP-A 33a,A-ITA Dr1A,CL-REC 3ab,CNT-LOR C3a1,COM-IT 6b,CAMP-B 7,CELT 3,CAMP-A 49A,COT-CAT Cc3,COT-CAT Jt0,CAMP-B 4,CL-REC 10,CL-REC 16c,CL-REC 1f,CNT-LOR U7f,COM-IT 3c,COM-IT 6c,COM-IT 7b,A-ITA Dr1A-bd3,COM-IT 8d,PAR-FIN 2,AMPH Dressel 1A,COM-IT 6g,A-ITA Dr1A-bd1,CL-REC 8g,CNT-LOR A7,COM-GRE 3b3,COM-IT 7a,A-ITA Lb2,AMPH Lamboglia 2,A-ITA Dr1BC-bd2,CAMP-A 113,CNT-LOR J2,A-ITA Dr1C-bd2,A-IBE bd4d,DER-A 2942,CL-REC 9,IB-PEINTE 2721,CAMP-A 31,COM-IT 8f,CL-REC 10c,COM-IT 8,COM-IT 9,DOLIUM bd3d,CL-REC 18a,CELT 3a,CNT-LOR C2a,CL-REC 3a,CL-REC 4,CAMP-A 5/7,AMPH Dressel 1C,COT-CAT Gb7,CL-REC 17b,CNT-LOR J2b,CAMP-B 127,CAMP-A 4285,DER-C 16,CNT-LOR J3,A-ITA Dr1C,CAMP-A 2974,CL-REC 3b,A-ITA Dr1BC,PAR-FIN 10,DER-C 7,A-TAR Lt1,CL-REC 12c,COM-IT 8j,DER-C 6,PAR-FIN 3.2,CL-REC 21b,SIG-IT 38.2,TSI,CAMP-B 1,AMPH Dressel 1B/C,CAMP-B 5,CAMP-C 1,A-PUN C2a-bd1,AMPH Mañá C2a,PAR-FIN 1,CAMP-A 2943,R-POMP 1-3,DER-C 2,CNT-LOR C2a1,CNT-LOR C5d,DER-C 1,CAMP-B 3,CAMP-C 7,PAR-FIN 3B,UNGUENT B0,CNT-LOR U7c,A-ITA Dr1BC-bd1,A-TAR Pa1,AMPH Pascual 1,CAMP-GR 2683,CAMP-C 19,A-PUN C1/2,A-TAR Dr2-4,A-LUS B4A,CELT 3e,CNT-LOR A3,CNT-LOR A6a,COM-IT 8g,A-ITA Dr1BC-bd3,CL-REC 1e,P-CHAUX A10,P-CHAUX E2,AMPH Dressel 1B,A-ITA Dr1B,CNT-LOR A12,DER-A 2865,PAR-FIN 3.1
Lattara US 128004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 31196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 129017,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 31034 = 31063,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 31077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 31023,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 31132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 128003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lattara US 31076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
