Lipari Necr. Contrada Diana T. 424,Meligunis-Lipara II p. 219 note 11
Lipari Necr. Contrada Diana T. 424,Olynthus XIII p 73 n. 23
Lipari Necr. Contrada Diana T. 424,"Ampurias I tab VIII 7,8; XI 7-19"
Lipari Necr. Contrada Diana T. 424,Meligunis-Lipara II p. 211 RF Attic Kylix
Lipari Necr. Contrada Diana T. 424,Meligunis-Lipara II p. 219 note 20
Lipari Necr. Contrada Diana T. 424,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE
Lipari Necr. Contrada Diana T. 418,Meligunis-Lipara II p. 211 RF Attic Kylix
Lipari Necr. Contrada Diana T. 418,Meligunis-Lipara II p. 219 note 20
Lipari Necr. Contrada Diana T. 418,Olynthus XIII n 647
Lipari Necr. Contrada Diana T. 418,Olynthus XIII n 648
Lipari Necr. Contrada Diana T. 418,Olynthus XIII n 649
Lipari Necr. Contrada Diana T. 418,Olynthus XIII n 651
Lipari Necr. Contrada Diana T. 418,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE
Lipari Necr. Contrada Diana T. 418,Meligunis-Lipara II p. 214 RF Local Skyphos Ovoid Two Horizontal Lines Variant
Lipari Necr. Contrada Diana T. 394,Meligunis-Lipara II p. 211 RF Attic Kylix
Lipari Necr. Contrada Diana T. 394,Meligunis-Lipara II p. 219 note 20
Lipari Necr. Contrada Diana T. 394,Olynthus XIII n 647
Lipari Necr. Contrada Diana T. 394,Olynthus XIII n 648
Lipari Necr. Contrada Diana T. 394,Olynthus XIII n 649
Lipari Necr. Contrada Diana T. 394,Olynthus XIII n 651
Lipari Necr. Contrada Diana T. 394,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 233,RF Icarus Painter
Lipari Necr. Contrada Diana T. 233,RF Providence Painter
Lipari Necr. Contrada Diana T. 233,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE
Lipari Necr. Contrada Diana T. 135,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE
Lipari Necr. Contrada Diana T. 376,Meligunis-Lipara II p. 214 RF Local Skyphos Ovoid Two Horizontal Lines Variant
Lipari Necr. Contrada Diana T. 19,Meligunis-Lipara II p. 219 note 29
Lipari Necr. Contrada Diana T. 19,Meligunis-Lipara II p. 219 note 31
Lipari Necr. Contrada Diana T. 400,Meligunis-Lipara II p. 211 RF Attic Kylix quasi-hemispheric
Lipari Necr. Contrada Diana T. 235,Meligunis-Lipara II p. 219 note 31
Lipari Necr. Contrada Diana T. 398,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE
Lipari Necr. Contrada Diana T. 398,Meligunis-Lipara II p. 211 RF Attic Kylix quasi-hemispheric
Lipari Necr. Contrada Diana T. 398,Meligunis-Lipara II p. 223 RF Lekane decorative
Lipari Necr. Contrada Diana T. 410,Meligunis-Lipara II p. 219 note 31
Lipari Necr. Contrada Diana T. 410,Meligunis-Lipara II p. 219 note 30
Lipari Necr. Contrada Diana T. 410,Olynthus XIII n 785
Lipari Necr. Contrada Diana T. 410,Olynthus XIII n 786
Lipari Necr. Contrada Diana T. 410,Olynthus XIII n 787
Lipari Necr. Contrada Diana T. 416,Meligunis-Lipara II p. 211 RF Attic coppa-skyphoide a profilo carenato
Lipari Necr. Contrada Diana T. 267,Meligunis-Lipara II p. 219 note 31
Lipari Necr. Contrada Diana T. 267,Meligunis-Lipara II p. 219 note 30
Lipari Necr. Contrada Diana T. 267,Olynthus XIII n 785
Lipari Necr. Contrada Diana T. 267,Olynthus XIII n 786
Lipari Necr. Contrada Diana T. 267,Olynthus XIII n 787
Lipari Necr. Contrada Diana T. 267,Meligunis-Lipara II p. 219 note 29 bis
Lipari Necr. Contrada Diana T. 331 bis,Meligunis-Lipara II p. 219 note 30
Lipari Necr. Contrada Diana T. 331 bis,Olynthus XIII n 785
Lipari Necr. Contrada Diana T. 331 bis,Olynthus XIII n 786
Lipari Necr. Contrada Diana T. 331 bis,Olynthus XIII n 787
Lipari Necr. Contrada Diana T. 207 bis,Meligunis-Lipara II p. 211 End of 4th c. BCE
Lipari Necr. Contrada Diana T. 228,Meligunis-Lipara II p. 219 note 30
Lipari Necr. Contrada Diana T. 228,Olynthus XIII n 785
Lipari Necr. Contrada Diana T. 228,Olynthus XIII n 786
Lipari Necr. Contrada Diana T. 228,Olynthus XIII n 787
Lipari Necr. Contrada Diana T. 228,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 268,Meligunis-Lipara II p. 219 note 30
Lipari Necr. Contrada Diana T. 268,Olynthus XIII n 785
Lipari Necr. Contrada Diana T. 268,Olynthus XIII n 786
Lipari Necr. Contrada Diana T. 268,Olynthus XIII n 787
Lipari Necr. Contrada Diana T. 268,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 351,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 369,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 419,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 467,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 417,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE
Lipari Necr. Contrada Diana T. 417,Meligunis-Lipara II p. 219 note 30
Lipari Necr. Contrada Diana T. 417,Olynthus XIII n 785
Lipari Necr. Contrada Diana T. 417,Olynthus XIII n 786
Lipari Necr. Contrada Diana T. 417,Olynthus XIII n 787
Lipari Necr. Contrada Diana T. 417,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 417,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 417,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 417,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 417,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 363,Meligunis-Lipara II p. 214 RF Local Skyphos Ovoid Two Horizontal Lines Variant
Lipari Necr. Contrada Diana T. 363,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 363,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 363,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 363,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 363,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 85,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 85,Meligunis-Lipara II p. 219 note 29 bis
Lipari Necr. Contrada Diana T. 370,Meligunis-Lipara II p. 211 RF Attic Lekythos 470-460 BCE
Lipari Necr. Contrada Diana T. 370,Meligunis-Lipara II p. 211 RF Attic coppa-skyphoide a profilo carenato
Lipari Necr. Contrada Diana T. 370,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 370,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 370,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 370,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 370,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 370,Meligunis-Lipara II p. 214 RF Local Skyphos Ovoid Two Horizontal Lines
Lipari Necr. Contrada Diana T. 239,Meligunis-Lipara II p. 211 End of 4th c. BCE
Lipari Necr. Contrada Diana T. 239,"Ampurias I tab 4, Nri 7-11"
Lipari Necr. Contrada Diana T. 239,Meligunis-Lipara II p. 219 note 17
Lipari Necr. Contrada Diana T. 239,"Olynthus XIII pp. 146-150, tab 101-106"
Lipari Necr. Contrada Diana T. 239,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 239,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 239,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 239,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 239,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 45,Meligunis-Lipara II p. 219 note 30
Lipari Necr. Contrada Diana T. 45,Olynthus XIII n 785
Lipari Necr. Contrada Diana T. 45,Olynthus XIII n 786
Lipari Necr. Contrada Diana T. 45,Olynthus XIII n 787
Lipari Necr. Contrada Diana T. 45,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 45,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 45,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 45,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 45,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 45,Meligunis-Lipara II p. 211 RF Attic Kylix Apodos
Lipari Necr. Contrada Diana T. 164,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 164,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 164,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 164,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 164,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 164,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 190,Meligunis-Lipara II p. 212 RF Attic Imitation Kylix
Lipari Necr. Contrada Diana T. 190,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 190,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 190,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 190,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 190,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 18,Meligunis-Lipara II p. 212 RF Local Patera Palmette-Semicircles
Lipari Necr. Contrada Diana T. 18,Meligunis-Lipara II p. 219 note 29 bis
Lipari Necr. Contrada Diana T. 18,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 18,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 18,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 18,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 18,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 396,Meligunis-Lipara II p. 212 RF Local Patera Palmette-Semicircles
Lipari Necr. Contrada Diana T. 396,Meligunis-Lipara II p. 219 note 29 bis
Lipari Necr. Contrada Diana T. 396,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 396,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 396,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 396,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 396,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 262,Meligunis-Lipara II p. 219 note 29 bis
Lipari Necr. Contrada Diana T. 262,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 262,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 262,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 262,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 262,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 47,Meligunis-Lipara II p. 219 note 29 bis
Lipari Necr. Contrada Diana T. 47,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 47,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 47,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 47,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 47,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 207,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 207,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 207,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 207,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 207,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 222,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 222,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 222,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 222,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 222,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 32,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 32,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 32,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 32,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 32,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 332 bis,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 332 bis,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 332 bis,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 332 bis,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 332 bis,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 420,Meligunis-Lipara II p. 220 note 32
Lipari Necr. Contrada Diana T. 420,Olynthus XIII n 570
Lipari Necr. Contrada Diana T. 420,Olynthus XIII n 571
Lipari Necr. Contrada Diana T. 420,Olynthus XIII n 573
Lipari Necr. Contrada Diana T. 420,Olynthus XIII n 574
Lipari Necr. Contrada Diana T. 52,Meligunis-Lipara II p. 220 note 32
